organization,product,address,telephone,category,decision_number,decision_date,permit_place,operational_date,description,status,barcode,email,website
PT Shafiraa Pusat Riyal,,,,Non Bank Money Changer Operators,,,KPwBI Provinsi Banten,,Non Bank Money Changer Operators,Berizin (Telah Operasional),,,
PT Prima Dollar Lestari,,"Jl. Ahmad Yani No. 131, Situbondo",,Non Bank Money Changer Operators,,,KPwBI Jember,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0111.003/0002,,
PT Ratri Gemah Ripah,,"Ruko Babatan Pantai, Jl. Kenjeran No. 598, Kel. Dukuh Sutorejo, Kec. Mulyorejo Surabaya",,Non Bank Money Changer Operators,,,KPwBI Provinsi Jawa Timur,,Non Bank Money Changer Operators,Berizin (Telah Operasional),,,
PT Putra Kundur Mandiri Valasindo,,Pusat perbelanjaan Centre point Lt.Dasr no.162&188,,Non Bank Money Changer Operators,,,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0085.003/0014,,
PT Putra Kundur Mandiri Valasindo,,Komp.Bumi Indah Blok A No.25,,Non Bank Money Changer Operators,,,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0085.002/0014,,
PT Putra Kundur Mandiri Valasindo,,"SP Plaza Kios Sentosa Plaza Blok A No.8, Batam",,Non Bank Money Changer Operators,,,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0085.006/0014,,
PT Royal Nagasindo,,Ruko Botania Garden Blok B12 No. 2A,,Non Bank Money Changer Operators,,,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),,,
PT Royal Inti Valasindo,,"Jl. Pluit Karang No. 38A Blok CC 5 Sel, Kav. No. 25, Muara Karang, Jakarta Utara",,Non Bank Money Changer Operators,,,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1122.002/0384,,
PT Ringgit Reyal Valasindo,,"Lingkungan Batu Belek Timur Kel. Rakam, Kab. Lombok Timur, Nusa Tenggara Barat",,Non Bank Money Changer Operators,,,KPwBI Provinsi Nusa Tenggara Barat,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1350.001/0019,,
PT Rizon Valas Indonesia,,Komplek Pertokoan Botania 2 Blok B15 No.01,,Non Bank Money Changer Operators,,,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),,,
PT Rizon Valas Indonesia,,"Komplek Pasar Buana Business Centre No. 8, Batam",,Non Bank Money Changer Operators,21/361/Btm/Srt/B,,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0878.002/0123,,
PT Mandala Indo Valas,,"Lagoi Plaza Blok A 19, Jalan Gurindam Dua Belas ",,Non Bank Money Changer Operators,,,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0991.003/0137,,
PT Mandala Indo Valas,,"Bintan Lagoon Resort, Lagoi – Bintan",,Non Bank Money Changer Operators,,,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),,,
PT Lintas Asia Valasindo,,Komp. Dian Centre Blok B No. 2 Kel. Batu Selicin Kec. Lubuk Baja Kota Batam,,Non Bank Money Changer Operators,,,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),,,
PT Mutiara Mas Valasindo,,"Jl. Protokol, Binjai Serbangan, Air Joman",,Non Bank Money Changer Operators,,,KPwBI Pematang Siantar,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1400.001/0006,,
PT Niaga Abadi Gemilang Adikarya,,"Kawasan Niaga Terpadu Sudirman (SCBD) Lot. 14, Jl. Jend. Sudirman Kav. 52-53, RT.5/3, Senayan, Kebayoran Baru, Jakarta Selatan",,Non Bank Money Changer Operators,,,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1321.001/0002,,
PT Melati Jaya Abadi Valasindo,,"Jl. K.L. Yos Sudarso No. 4 Kecamatan Martubung Kelurahan Medan Labuhan, Medan",,Non Bank Money Changer Operators,,,KPwBI Provinsi Sumatera Utara,,Non Bank Money Changer Operators,Berizin (Telah Operasional),,,
PT Polimas Valasindo,,Plaza Batam City Square (BCS Mall) ,,Non Bank Money Changer Operators,,,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0068.003/0010,,
PT Pegasus Kedung Artha,,"Komplek Pasar Fanindo Blok D I No. 02, Kel. Tanjung Uncang, Kec. Batu Aji, Batam",,Non Bank Money Changer Operators,21/41/KEP.GBI/Btm/2019,,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1366.001/0181,,
PT Pasifik Mitra Utama,,,,Non Bank Money Changer Operators,,,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),,,
PT Nusa Jaya Mandiri Valasindo,,Komplek Griya Kurnia Djaya Blok C No.5,,Non Bank Money Changer Operators,,,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),,,
PT Nusa Jaya Mandiri Valasindo,,Komplek  Mitra Raya Blok A No.1,,Non Bank Money Changer Operators,,,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),,,
PT Padi Mandiri Valuta,,"Jl. Raya Mas No. 77 Kec. Ubud Kab. Gianyar, Bali",,Non Bank Money Changer Operators,,,KPwBI Provinsi Nusa Tenggara Barat,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0828.009/0006,,
PT Padi Mandiri Valuta,,Jl. Raya Silakarang 25 Singapadu Kaler Kec. Sukawati,,Non Bank Money Changer Operators,,,KPwBI Provinsi Nusa Tenggara Barat,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0828.008/0006,,
PT Valasindo Dunia,,"Hotel Grand Lagoi, Bintan",,Non Bank Money Changer Operators,,,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0763.002/0106,,
PT Utama Baru Sejahtera,,,,Non Bank Money Changer Operators,,,KPwBI Cirebon,,Non Bank Money Changer Operators,Berizin (Telah Operasional),,,
PT Trimitra Valasindo,,"Lippo Plaza Medan Lt.1 No.21, Jl. Imam Bonjol No.6, Medan",,Non Bank Money Changer Operators,,,KPwBI Provinsi Banten,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0626.002/0024,,
PT Vendra Jaya Sentosa,,"JL Tukad Punggawa No.25 (Agus Bar & Restaurant) Lingkungan Br.Ponjok, Kel.Sarangan, Kec.Denpasar Selatan, Kota Denpasar ",,Non Bank Money Changer Operators,,,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),,,
"PT. Bank Rakyat Indonesia (Persero), Tbk.",,"Jl. Jend. Sudirman No. 44 - 46, JAKARTA 10210",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Mandiri (Persero), Tbk.",,"Jl. Tanah Abang Timur No. 1 – 2 Lantai II, JAKARTA PUSAT 10110",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Negara Indonesia (Persero), Tbk.",,"Gd. BNI Lantai 21, Jl. Jend Sudirman Kav. 1 , JAKARTA 10220",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank BNI Syariah,,"Gedung Tempo Pavilion I Lantai 3-6. Jl. HR. Rasuna Said Kav. 11, JAKARTA 12950",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Danamon Indonesia, Tbk",,"BDI Abdul Muis No. 60 Lantai 3, JAKARTA PUSAT 10160",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Danamon Indonesia Unit Usaha Syariah,,"BDI Abdul Muis No. 60 Lantai 3, JAKARTA PUSAT 10161",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Permata, Tbk.",,"Jl. Hayam Wuruk No. 84 – 85, Lantai 7, JAKARTA",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Permata, Tbk. Unit Usaha Syariah",,"Jl. Hayam Wuruk No. 84 – 85, Lantai 7, JAKARTA",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Central Asia, Tbk.",,"Wisma Asia II. Jl. Brigjen Katamso No. 1, JAKARTA 11420",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Maybank Indonesia, Tbk.",,"Sentral Senayan 3, Lantai 5. Jl. Asia Afrika No. 8, JAKARTA PUSAT 10270 ",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Maybank Indonesia, Tbk. UUS",,"Sentral Senayan 3, Lantai 5 
Jl. Asia Afrika No. 8, JAKARTA PUSAT 10270 ",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Panin, Tbk.",,"Gedung Panin Pusat Lantai 3
Jl. Jend. Sudirman Kav. 1 - Senayan , JAKARTA PUSAT 10270",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank CIMB Niaga, Tbk.",,"Gedung Griya Niaga 2 Lantai 5
Jl. Wahid Hasyim Blok B4 No. 3
Bintaro Jaya – Sektor VII, TANGERANG 15224",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Cimb Niaga, Tbk. - Unit Usaha Syariah",,"Gedung Griya Niaga 2 Lantai 5
Jl. Wahid Hasyim Blok B4 No. 3
Bintaro Jaya – Sektor VII, TANGERANG 15224",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank UOB Indonesia,,"Gedung UOB Harmoni Lantai 3
Jl. Gajah Mada No 1 A , JAKARTA 10130",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank OCBC NISP, Tbk.",,"Jln. Gunung Sahari Raya No. 38  , JAKARTA PUSAT ",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank OCBC NISP, Tbk. - UUS",,"Jl. Gunung Sahari Raya No. 38, Gd. Dharmajaya II, Lt. 2, JAKARTA PUSAT ",,KPDHN,,,,,,Berizin (Telah Operasional),,,
Citibank NA,,"Citibank Tower, 15th Floor 
Jl. Jend. Sudirman Kav. 54-55, JAKARTA PUSAT",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"KC JPMorgan Chase Bank, N.A",,"The Energy Building 5th & 6th Floor, SCBD Lot 11A 
Jl. Jend. Sudirman Kav. 52-53, JAKARTA 12190",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"Bank of America, NA",,"Indonesia Stock Exchange Building, Tower 2, 23rd Floor
Jl. Jend. Sudirman Kav. 52-53, JAKARTA 12190",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank China Construction Bank Indonesia, Tbk.",,"Equity Tower Building Lt. 9 Sudirman Central Business District (SCBD) Lot. 9
Jl. Jend. Sudirman Kav. 52-53, JAKARTA 12190",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Artha Graha Internasional, Tbk.",,"Artha Graha Building - SCBD
Jl. Jend. Sudirman Kav. 52-53, JAKARTA 12190",,KPDHN,,,,,,Berizin (Telah Operasional),,,
Bangkok Bank Public Co. Ltd.,,"Jl. MH. Thamrin No. 3, JAKARTA PUSAT 10110",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Capital Indonesia,,"Sona Topas Tower Lantai. 16
Jl. Jend. Sudirman Kav. 26, JAKARTA 12920",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"MUFG Bank, Ltd.",,"MidPlaza Building 1-3 Jl. Sudirman Kav. 10-11 , JAKARTA 10220",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank DBS Indonesia,,"DBS Bank Tower 
Jl. Prof. Dr. Satrio Kav. 3-5, JAKARTA 12940",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Resona Perdania,,"Jl. Jend. Sudirman Kav. 9-11 Karet - Semanggi, JAKARTA SELATAN 10210",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Mizuho Indonesia,,"Plaza BII Menara II Lantai 24 
Jl. MH. Thamrin No. 51, JAKARTA PUSAT 10350",,KPDHN,,,,,,Berizin (Telah Operasional),,,
Standard Chartered Bank,,"Jl. Jend Sudirman Kav. 29-31, JAKARTA",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank BNP Paribas Indonesia,,"Menara Batavia Lantai 20
Jl. K.H. Mas Mansyur Kav. 126, JAKARTA 10220",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank ANZ Indonesia,,"Jl. Jend. Sudirman Kav. 33A, JAKARTA 10220",,KPDHN,,,,,,Berizin (Telah Operasional),,,
Deutsche Bank AG,,"Gd. Deutsche Bank 
Jl. Imam Bonjol No. 80, JAKARTA 10310",,KPDHN,,,,,,Berizin (Telah Operasional),,,
Bank Of China (Hong Kong) Limited,,"Wisma Tamara, Suite 101 & 201 
Jl. Jend. Sudirman Kav. 24, JAKARTA 12920",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Bumi Arta,,"Jl. Wahid Hasyim No. 234 , JAKARTA PUSAT 10250",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank HSBC Indonesia,,"Gedung Menara Mulia, 22nd Floor
Jl. Jendral Gatot Subroto Kav. 9-11,  JAKARTA 12930",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank JTrust Indonesia, Tbk. ",,"Gedung Sahid Sudirman Center
Jl. Jendral Sudirman No. 86, JAKARTA PUSAT 10220",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Mayapada, Tbk.",,"Gd. Mayapada Tower II Lantai 1
Jl. Jend. Sudirman Kav. 28 , JAKARTA 12920",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Jabar Dan Banten,,"Jl. Naripan No. 12-14, BANDUNG  40111",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Jabar Banten Syariah,,"Jl. Braga No.135, BANDUNG 40111",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank DKI,,"Jl. Ir. Juanda III No. 7-9, JAKARTA PUSAT 10120",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank DKI Unit Usaha Syariah,,"Jl. Ir. Juanda III No. 7-9, JAKARTA PUSAT 10120",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Daerah Istimewa Yogyakarta,,"Jl. Tentara Pelajar No. 7, YOGYAKARTA 55231",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Daerah Istimewa Yogyakarta - UUS,,"Jl. Cik Ditiro No. 34 , YOGYAKARTA 55223",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Jawa Tengah,,"Jl. Pemuda No. 142, SEMARANG 53411",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Jawa Tengah Unit Usaha Syariah,,"Gd. Grinatha Lantai 3 Jl. Pemuda No. 142 , SEMARANG 50132",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Jawa Timur,,"KPDHN - Cabang Utama Surabaya                                                                               
Jl. Basuki Rahmat 98 - 104 , SURABAYA 60271",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Jawa Timur - UUS,,"Jl. Raya Darmo 105-107 , SURABAYA 60271",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Jambi,," Jl. Jend. A. Yani No. 18 Telanai Pura , JAMBI 36112",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Jambi - UUS,,"Jl. Jend. A. Yani No.18 Telanai Pura , JAMBI 36112",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Aceh Syariah,,"Pusdiklat Bank Aceh                                                                               
Jl. Patimura No. 98, Kel. Sukaramai, Blowoer, BANDA ACEH",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Sumut,,"Jl. Imam Bonjol No. 18 , MEDAN",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Sumut - UUS,,"Jl. Brigjen Katamso Komp. Centrium No. 4 A 
Kel. Aur, Kec. Medan Maimun, MEDAN",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Sumatera Barat (Nagari),,"Jl. Pemuda No. 21, PADANG 25117",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Sumatera Barat (Nagari) - UUS,,"Jl. Belakang Olo No. 36B , PADANG 25117",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Riau Kepri,,"Jl. Jend. Sudirman No. 377 , PEKANBARU 28116",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. BPD Sumsel Dan Babel,,"Jl. Kapten A. Rivai No. 21, PALEMBANG 30254",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. BPD Sumsel Dan Babel Unit Usaha Syariah,,"Cabang Palembang
Jl. Letkol Iskandar No. 537-538 , PALEMBANG 30129",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Lampung,,"Kantor Cabang Utama
Jl. Woltermonginsidi No. 182 - Teluk Betung, BANDAR LAMPUNG",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Kalimantan Barat,,"Jl. Rahadi Osman No. 10 , PONTIANAK 78117",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Kalimantan Barat - UUS,,"Jl. A. Yani No. 5-6 , PONTIANAK",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Kalsel,,"Jl. Lambung Mangkurat No. 7, BANJARMASIN 70111",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Kalsel - Unit Usaha Syariah,,"Jl. Hasan Basri No. 8 , BANJARMASIN 70111",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Kaltim,,"Jl. Jend. Sudirman No. 33, SAMARINDA 75122",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Kaltim - Unit Usaha Syariah,,"Jl. Ahmad Yani II No. 31, SAMARINDA 75117",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Kalimantan Tengah,,"JL. RTA Milono No. 12 , PALANGKARAYA 73111",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Sulselbar,,"Jl. DR. Sam Ratulangi No. 16 , MAKASSAR 90125",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Sulselbar Unit Usaha Syariah,,"Jl. DR. Sam Ratulangi No. 16 , MAKASSAR 90125",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. BANK PEMBANGUNAN DAERAH  SULUT,,"Jl. Sam Ratulangi No. 9, MANADO 95111",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. BANK PEMBANGUNAN DAERAH NUSA TENGGARAT BARAT SYARIAH,,"Jl. Pejanggik No. 30 , MATARAM 83126",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Bali,,"Jl. Raya Puputan Niti Mandala Renon , DENPASAR 80235",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah NTT,,"Jl. Cak Doko No. 50 Oebobo , KUPANG - NTT",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Maluku,,"Jl. Raya Pattimura No. 9 , AMBON - MALUKU 97124",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Papua,,"Gedung Bank Papua
Jl. Achmad Yani No. 5-7 , JAYAPURA 99111",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Bengkulu,,"Kliring (Cabang Utama)  
Jl. Basuki Rahmat No. 06 , BENGKULU",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Sulawesi Tengah,,"Jl. Sultan Hasanuddin No. 20 , PALU 94112",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Pembangunan Daerah Sulawesi Tenggara,,"Bank Sultra Kantor Cabang Utama Lantai 1 
Jl. Mayjen Sutoyo No. 95
Kel. Kemaraya, Kec. Kendari Barat, KENDARI – SULAWESI TENGGARA",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Pembangunan Daerah Banten, Tbk.",,"Jl. RS Fatmawati No. 12 , JAKARTA SELATAN",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Of India Indonesia, Tbk.",,"Jl. H. Samanhudi No. 37, JAKARTA PUSAT 10710",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Muamalat Indonesia, Tbk. ",,"Muamalat Tower 6th Floor 
Jl. Raya Prof. Dr. Satrio Blok D/3 Kav. 16A-18 dan 25-27A, 
Kel. Kuningan Timur, Kec. Setiabudi, JAKARTA SELATAN",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Mestika Dharma, Tbk.",,"Jl. Zainul Arifin No. 118, MEDAN 20152",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Shinhan Indonesia,,"Intl. Financial Centre Tower 2
Jl. Jend. Sudirman Kav. 22-23, JAKARTA PUSAT",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Sinarmas, Tbk.",,"Gd. Roxy Square, Lantai 2
Jl. Kyai Tapa No. 1 - Grogol , JAKARTA BARAT 11440",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Sinarmas, Tbk. Unit Usaha Syariah",,"Sinarmas Land Plaza Tower 1, Lt. 4 
Jl. MH. Thamrin No. 51 - Menteng , JAKARTA PUSAT 10310",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Maspion,,"Jl. Basuki Rahmat. 50-54 , SURABAYA 60262",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Ganesha,,"Graha Ganesha
Jl. Hayam Wuruk No. 28 , JAKARTA 10120",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank ICBC Indonesia,,"ICBC Tower 32nd Floor
Jl. MH. Thamrin No. 81, JAKARTA PUSAT 10350",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank QNB Indonesia, Tbk.",,"QNB Kesawan Indonesia Tower 18 Parc SCBD
Jl. Jend. Sudirman Kav. 25 - 53, JAKARTA SELATAN 12190",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Tabungan Negara (Persero), Tbk.",,"Jl. Gajah Mada No. 1 , JAKARTA PUSAT 10130",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Tabungan Negara (Persero), Tbk. Unit Usaha Syariah",,"Jl. Gajah Mada No. 1 , JAKARTA PUSAT 10130",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Woori Saudara Indonesia 1906, Tbk.",,"Jl. Diponegoro No. 28 , BANDUNG 40115",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank BTPN, Tbk.",,"Menara BTPN, Lantai 21
Jl. DR Ide Anak Agung Gde Agung Lot 5.5-5.6
Kawasan Mega Kuningan, JAKARTA SELATAN 12950",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT BANK BTPN SYARIAH,TBK",,"Menara Cyber 2 Lantai 34
Jl. HR. Rasuna Said Blok X-5 No. 13 , JAKARTA SELATAN 12950",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Victoria Syariah,,"Jl. R.S. Fatmawati No. 85 A, JAKARTA SELATAN 12150",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Syariah BRI,,"Jl. Wahid Hasyim No. 288 , JAKARTA PUSAT 10250",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Mega, Tbk. ",,"Menara Bank Mega                                                                                                       
Jl. Kapten Tendean Kav. 12-14A , JAKARTA SELATAN 12790",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Bukopin, TBK.",,"Gedung Bank Bukopin
Jl. Haryono MT. Kav. 50-51, JAKARTA SELATAN 12770",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Syariah Bukopin,,"Jl. Salemba Raya No. 55 , JAKARTA PUSAT 10440",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Syariah Mandiri,,"Kantor Pusat
Jl. MH. Thamrin No. 5, JAKARTA PUSAT 10340",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Bisnis Internasional,,"Jl. Ir. H. Djuanda No. 137, BANDUNG",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Jasa Jakarta,,"Jl. Tiang Bendera III No. 26-32 , JAKARTA 11230",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Keb Hana Indonesia,,"Mangkuluhur City Tower 1 
Jl. Jend. Gatot Subroto Kav. 1-3, JAKARTA 12930",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank MNC Internasional, Tbk.",,"Jl. Jend Sudirman Kav. 75 , JAKARTA 12910",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. BANK NEO COMMERCE, TBK",,"Jl. Raya Pasar Minggu Kav. 32, JAKARTA SELATAN",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank Rakyat Indonesia Agroniaga, Tbk.",,"Jl. Warung Jati Barat No. 139 
RT. 010 RW. 009 Kel. Kalibata, JAKARTA 11750",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank SBI Indonesia,,"Jl. Pasar Baru Selatan No. 19, JAKARTA PUSAT 10310",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. BANK DIGITAL BCA,,"Jl. Suryopranoto No. 52 , JAKARTA PUSAT 10130",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. Bank National Nobu, Tbk.",,"Nobu Bank Ruko Pinangsia Blok M 26-30 
Karawaci Office Park Lippo Karawaci, TANGERANG 15811",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Mega Syariah,,"Menara Mega Syariah Lantai 7
Jl. H.R. Rasuna Said Kav. 19 A , JAKARTA SELATAN",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Ina Perdana,,"Jl. Abdul Muis No. 40, JAKARTA PUSAT 10160",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Panin Dubai Syariah,,"Gedung Panin Dai-Ichi Life Lantai 3
Jl. Letjend S. Parman Kav. 91 , JAKARTA",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Prima Master Bank,,"Jl. Jembatan Merah No. 15-17, SURABAYA 60175",,KPDHN,,,,,,Berizin (Telah Operasional),,,
PT. Bank Sahabat Sampoerna,,"Gedung Sampoerna Strategic Square, Norh Tower, Mezzanine
Jl. Jend Sudirman Kav. 45, JAKARTA 12930",,KPDHN,,,,,,Berizin (Telah Operasional),,,
"PT. BANK OKE INDONESIA, TBK",,"Jl. Ir. H. Juanda No. 12 , JAKARTA PUSAT 10120",,KPDHN,,,,,,Berizin (Telah Operasional),,,
